data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,32,9,3,6,2,2,1403.1,359.7,1403.1,359.7,155.89999999999998,119.90000000000002,0.076,0.029,0.286,0.229
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,31,9,3,6,2,2,1403.1,359.7,1403.1,359.7,155.89999999999998,119.90000000000002,0.076,0.029,0.286,0.229
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,31,7,0,7,2,2,789.3,0.0,789.3,0.0,112.75714285714285,,0.062,0.0,0.201,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,30,10,3,7,2,2,1553.0,359.7,1553.0,359.7,155.3,119.90000000000002,0.084,0.029,0.286,0.229
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,30,7,0,7,2,2,789.3,0.0,789.3,0.0,112.75714285714285,,0.062,0.0,0.201,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,29,12,3,9,2,2,1848.8,359.7,1848.8,359.7,154.0666666666667,119.90000000000002,0.102,0.029,0.279,0.229
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,29,7,0,7,2,2,789.3,0.0,789.3,0.0,112.75714285714285,,0.062,0.0,0.201,
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,28,7,0,7,2,2,789.3,0.0,789.3,0.0,112.75714285714285,,0.062,0.0,0.201,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,28,13,3,10,2,2,1967.7,359.7,1967.7,359.7,151.36153846153846,119.90000000000002,0.111,0.029,0.274,0.229
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,27,13,4,9,2,2,1967.7,478.6,1967.7,478.6,151.36153846153846,119.65,0.111,0.037,0.274,0.24
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,27,9,0,9,2,2,1045.1,0.0,1045.1,0.0,116.1222222222222,,0.079,0.0,0.21,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,26,15,4,11,2,2,2267.5,478.6,2267.5,478.6,151.16666666666666,119.65,0.127,0.037,0.275,0.24
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,26,13,0,13,2,2,1501.7,0.0,1501.7,0.0,115.51538461538462,,0.114,0.0,0.209,
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,25,14,1,13,2,2,1538.6,108.9,1618.6,108.9,109.89999999999999,108.9,0.122,0.01,0.199,0.182
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,25,15,4,11,2,2,2267.5,478.6,2267.5,478.6,151.16666666666666,119.65,0.127,0.037,0.275,0.24
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,24,14,1,13,2,2,1538.6,108.9,1618.6,108.9,109.89999999999999,108.9,0.122,0.01,0.199,0.182
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,24,15,6,9,2,2,2267.5,664.42,2267.5,684.4,151.16666666666666,110.73666666666668,0.127,0.056,0.275,0.219
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,23,14,3,11,2,2,1538.6,280.7,1618.6,280.7,109.89999999999999,93.56666666666666,0.122,0.028,0.199,0.17
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,23,15,5,10,2,2,2267.5,611.5,2267.5,611.5,151.16666666666666,122.3,0.127,0.046,0.275,0.242
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,44,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,44,1,3,-2,1,1,95.9,134.7,95.9,134.7,95.9,44.9,0.022,0.048,0.201,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,43,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,43,1,3,-2,1,1,95.9,134.7,95.9,134.7,95.9,44.9,0.022,0.048,0.201,0.129
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,42,1,3,-2,1,1,95.9,134.7,95.9,134.7,95.9,44.9,0.022,0.048,0.201,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,42,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,41,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,41,1,3,-2,1,1,95.9,134.7,95.9,134.7,95.9,44.9,0.022,0.048,0.201,0.129
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,40,1,3,-2,1,1,95.9,134.7,95.9,134.7,95.9,44.9,0.022,0.048,0.201,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,40,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,39,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,39,1,3,-2,1,1,95.9,134.7,95.9,134.7,95.9,44.9,0.022,0.048,0.201,0.129
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,38,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,38,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,37,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,37,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,36,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,36,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,35,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,35,2,4,-2,1,1,186.8,209.6,186.8,209.6,93.4,52.4,0.044,0.07,0.196,0.137
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,34,2,4,-2,1,1,186.8,209.6,186.8,209.6,93.4,52.4,0.044,0.07,0.196,0.137
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,34,2,0,2,1,1,143.8,0.0,143.8,0.0,71.9,,0.04,0.0,0.167,
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,33,2,0,2,1,1,143.8,0.0,143.8,0.0,71.9,,0.04,0.0,0.167,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,33,2,4,-2,1,1,186.8,209.6,186.8,209.6,93.4,52.4,0.044,0.07,0.196,0.137
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,32,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,32,2,0,2,1,1,143.8,0.0,143.8,0.0,71.9,,0.04,0.0,0.167,
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,31,2,0,2,1,1,143.8,0.0,143.8,0.0,71.9,,0.04,0.0,0.167,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,31,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,30,8,0,8,1,1,583.3,0.0,671.2,0.0,72.9125,,0.161,0.0,0.169,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,30,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,29,8,0,8,1,1,583.3,0.0,671.2,0.0,72.9125,,0.161,0.0,0.169,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,29,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,28,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,28,8,0,8,1,1,583.3,0.0,671.2,0.0,72.9125,,0.161,0.0,0.169,
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,27,9,0,9,1,1,654.2,0.0,742.1,0.0,72.6888888888889,,0.183,0.0,0.167,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,27,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
2026-06-06,2026-04-04,SAO-BAT,BAT-SAO,26,9,0,9,1,1,654.2,0.0,742.1,0.0,72.6888888888889,,0.183,0.0,0.167,
2026-06-06,2026-04-04,BAT-SAO,BAT-SAO,26,2,3,-1,1,1,186.8,134.7,186.8,134.7,93.4,44.9,0.044,0.048,0.196,0.129
